sigla_sistema,sigla_tickets,regional,supervisor,local,email,direccion,ciudad,provincia,tipo_local,razon_social,tecnico,email_regional,email_supervisor
FPEL,FMROS,Melisa Castillo,Elisabet Gassman,Pellegrini,pellegrinirosario@mostazaweb.com.ar,Pellegrini 1431,Rosario,SANTA FE,Auto Mostaza,PELLEGRINI BEST FOOD S.A,Francisco Rametta,mcastillo@mostazaweb.com.ar,sorlando@mostazaweb.com.ar
FRSM,FRSM,Melisa Castillo,Elisabet Gassman,Rosario Sur,rosariosur@mostazaweb.com.ar,Avenida San Martin,Rosario,SANTA FE,A la calle,GAMISUR S.A,Francisco Rametta,mcastillo@mostazaweb.com.ar,sorlando@mostazaweb.com.ar
FROA,FORO,Melisa Castillo,Elisabet Gassman,Oroño,autoorono@mostazaweb.com.ar,Oroño 3120,Rosario,SANTA FE,Auto Mostaza,MADILAGA S.A.,Francisco Rametta,mcastillo@mostazaweb.com.ar,sorlando@mostazaweb.com.ar
FMSNI,FMSNI,Melisa Castillo,Elisabet Gassman,San Nicolás,sannicolas@mostazaweb.com.ar,Mitre 449,San Nicolás,BUENOS AIRES,Auto Mostaza,PUA NANI S.R.L,Francisco Rametta,mcastillo@mostazaweb.com.ar,sorlando@mostazaweb.com.ar
FMPUM,FMPUM,Melisa Castillo,Elisabet Gassman,Puma,pumarosario@mostazaweb.com.ar,Autopista Rosario-BsAs KM 282,Funes,SANTA FE,Auto Mostaza,FGC FUELS MARKETING S.A,Francisco Rametta,mcastillo@mostazaweb.com.ar,sorlando@mostazaweb.com.ar
FMFUN,FMFUN,Melisa Castillo,Elisabet Gassman,Funes,,Av. Córdoba 1291,FUNES,SANTA FE,,ALADOS SA,Francisco Rametta,mcastillo@mostazaweb.com.ar,sorlando@mostazaweb.com.ar
FGUE,FGUE,,,Güemes,guemes@mostazaweb.com.ar,guemes 3901,PALERMO,CABA,A la calle,LOS INVENCIBLES S.A,Tomás Vera,mmedina@mostazaweb.com.ar,iayala@mostazaweb.com.ar
FMMSM,FMMSM,Darío D.,Agustina Grigas,Mendoza Centro,avsanmartin@mostazaweb.com.ar,Lavalle 35 piso 5to depto 9,Mendoza Capital,MENDOZA,A la calle,ALIMENTOS DEL OESTE S.R.L,Fernando Soria,hdalto@mostazaweb.com.ar,agrigas@mostazaweb.com.ar
FMMCO,FMMCO,Darío D.,Agustina Grigas,Mendoza Colón,avcolon@mostazaweb.com.ar,Chile 925 piso 9 depto 6,Mendoza Capital,MENDOZA,Auto Mostaza,ALIMENTOS DEL OESTE S.R.L,Fernando Soria,hdalto@mostazaweb.com.ar,agrigas@mostazaweb.com.ar
FSRM,FSRM,Darío D.,Agustina Grigas,San Rafael,sanrafael@mostazaweb.com.ar,Hipolito Yrigoyen 1530,San rafael,MENDOZA,Auto Mostaza,FARTRES MDZ S.A,Tomás Vera,hdalto@mostazaweb.com.ar,bmoreno@mostazaweb.com.ar
FBA1,FMBRC,,,Bariloche,bariloche@mostazaweb.com.ar,Mitre 114,Bariloche,RIO NEGRO,A la calle,BURIEL GASTRONOMICA S.A.,Tomás Vera,hdalto@mostazaweb.com.ar,egassman@mostazaweb.com.ar
MWG,MWG,Alejandro Alvarez,MELISA SARATIEGUI,WALMART GUAYMALLEN,walmartmendoza@mostazaweb.com.ar,MOLDES 1221,GUAYMALLEN,MENDOZA,,MOSTAZA Y PAN S.A.,,,
MBM,MBM,Alejandro Alvarez,LAUTARO PUEBLA,BARRACAS MALL,barracamall@mostazaweb.com.ar,LAS CAÑAS 1833,DORREGO,MENDOZA,,MOSTAZA Y PAN S.A.,,,
MML,MML,Alejandro Alvarez,DANISA MANZANELLI,LUJAN DE CUYO,lujandecuyo@mostazaweb.com.ar,Av. Roque Saenz Peña 1110 esquina Corvalan,MENDOZA,MENDOZA,,MOSTAZA Y PAN S.A.,,,
MMZ,MMZ,Alejandro Alvarez,AGOSTINA GRIGAS,MENDOZA,mendoza@mostazaweb.com.ar,AV.ACCESO ESTE 3280,GUAYMALLEN,MENDOZA,,MOSTAZA Y PAN S.A.,,,
MAM,MAM,Alejandro Alvarez,JAVIER MANUCCIA,ARENA MAIPU,arenamaipu@mostazaweb.com.ar,"EMILIO CIVIT 791 , MAIPU , MENDOZA",,,,,,,
MLA,MLA,GIMENA CONTE,MAILEN CASTILLO,NEUQUEN  3 ( LA ANONIMA ),laanonimaneuquen@mostazaweb.com.ar,ANTARTIDA ARGENTINA 1111,NEUQUEN,NEUQUEN,,GASTRO MANANGEMENT GROUP S.A.,,,
MNA,MNA,GIMENA CONTE,BENJAMIN SALAZAR,NEUQUEN 2  ALTO COMAHUE,altocomahue@mostazaweb.com.ar,DR RAMON 355,NEUQUEN,NEUQUEN,,GASTRO MANANGEMENT GROUP S.A.,,,
MNQ,MNQ,GIMENA CONTE,YOSELIN PUENTES,NEUQUEN  1,neuquen@motazaweb.com.ar,JULIAN LASTRA,NEUQUEN,NEUQUEN,,GASTRO MANANGEMENT GROUP S.A.,,,
MWN,MWN,GIMENA CONTE,LAUTARO INDORATO,NEUQUEN  4  ( WALMART ),Walmartneuquen@mostazaweb.com.ar,RN 22 Y A. PERTICONE 1255,NEUQUEN,NEUQUEN,,GASTRO MANANGEMENT GROUP S.A.,,,
MAE,MAE,Alejandro Alvarez,FLORENCIA OTRERAS,AEROPARQUE,aeroparque@mostazaweb.com.ar,AV.COSTANERA RAFAEL OBLIGADO S/N,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MDO,MDO,Alejandro Alvarez,SELENE GARCIA,DOT,dot@mostazaweb.com.ar,Vedía 3626,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MVZ,MVZ,Alejandro Alvarez,MELINA MARTINEZ,CARREFOUR VELEZ,velez@mostazaweb.com.ar,"Av. Alvarez Jonte 6383, CP 1408, CABA",CABA,BUENOS AIRES,,,,,
MCW,MCW,Alejandro Alvarez,JOEL VERA,WARNES,warnes@mostazaweb.com.ar,Av. Warnes nº 2707,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MST,MST,Alejandro Alvarez,CAMILA ROMERO,SAN MARTIN,sanmartin@mostazaweb.com.ar,Av. Gral. Jose  San Martín 420,SAN MARTIN,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MNC,MNC,Alejandro Alvarez,SOL GARCIA,NORCENTER,norcenter@mostazaweb.com.ar,Esteban Echeverría 3750,MUNRO,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MOT,MOT,Alejandro Alvarez,AYELEN QUINTEROS,TORTUGUITA,tortugas@mostazaweb.com.ar,"Panamericana km36,5  Ramal oeste",MALVINAS ARGENTINA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MSF,MSF,Alejandro Alvarez,REBECCA PRADO,SOLEIL,soleil@mostazaweb.com.ar,Bernardo de Irigoyen 2647,BOULOGNNE,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MPP,MPP,Alejandro Alvarez,MARCOS POLZONI,PASEO PILAR,paseopilar@mostazaweb.com.ar,"panamericana, Ramal Pilar km 44, B1669 Del Viso",,,,,,,
MBP,MBP,Alejandro Alvarez,BARBARA PORTILLO,PACHECO,pacheco@mostazaweb.com.ar,"Av. Hipólito Yrigoyen 816, Gral. Pacheco, Provincia de Buenos Aires",,,,,,,
MCT,MCT,Alejandro Alvarez,CRISTIAN MONTENEGRO,CONSTITUYENTES,constituyentes@mostazaweb.com.ar,"Av. de los Constituyentes 6020,",CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MDV,MDV,Alejandro Alvarez,MATIAS LOPEZ,DEVOTO,devoto@mostazaweb.com.ar,José Pedro Varela 4862,VILLA DEVOTO,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MPA,MPA,Alejandro Alvarez,LUCIANA FREDE,PANAMERICANA,panamericana@mostazaweb.com.ar,Parana 3999,MARTINEZ,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MAN,MAN,GIMENA CONTE,GISELLA RAMIREZ,NEUQUEN AUTO,perticone@mostazaweb.com.ar,Perticonne 215,,,,,,,
MMH,MMH,GIMENA CONTE,NATALIA DIMARCO,HAEDO AUTO,Haedo2@mostazaweb.com.ar,Av. Luis P. Güemes 452 Haedo,HAEDO,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MAR,MAR,GIMENA CONTE,CINTHIA SOSA,ALTO ROSARIO,altorosario@mostazaweb.com.ar,JUNIN 501,ROSARIO,SANTA FE,,MOSTAZA Y PAN S.A.,,,
MCR,MCR,GIMENA CONTE,NICOLE COFFARO,CITY ROSARIO,citycenter@mostazaweb.com.ar,BV OROÑO Y AV. CIRCUNVALACION,ROSARIO,SANTA FE,,MOSTAZA Y PAN S.A.,,,
MNI,MNI,Gimena Conte,SOFIA AVALOS,NINE,nine@mostazaweb.com.ar,Victorica 1128,MORENO,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MMVP,MMVP,Gimena Conte,ROCIO LOPEZ,MORON,moron@mostazaweb.com.ar,BELGRANO 274,MORON,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MPO,MPO,GIMENA CONTE,XIMENA CABEZAS,PLAZA OESTE,MORON2@MOSTAZAWEB.COM.AR,Av Brig Gral Juan M. de Rosas 658,MORON,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MSM,MSM,Gimena Conte,FRANCO FERNANDEZ,SAN MIGUEL 1,sanmiguel@mostazaweb.com.ar,Ruta 8 Y 202 Av Arturo Illia3770,MALVINAS ARGENTINA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MLU,MLU,GIMENA CONTE,MILAGROS MORUZZI,LUJAN 2,lujan2@mostazaweb.com.ar,Roberto Payro 198,LUJAN,BUENOS AIRES,,MSOTAZA Y PAN S.A.,,,
MCS,MCS,Gimena Conte,NADINE MORALES,SAN JUSTO 4,carrefoursanjusto@mostazaweb.com.ar,Av Don Bosco 2680,SAN JUSTO,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MGC,MGC,Gimena Conte,BELEN VILCA,CATAN,catan@mostazaweb.com.ar,Av Brigadier Gral. Juan Manuel de Rosas 14457. Ruta 3 km 29,GONZALES CATAN,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MSJ,MSJ,Gimena Conte,CINTHIA BUSTAMANTE,SAN JUSTO 1,sanjusto@mostazaweb.com.ar,Gral. Juan Manuel de Rosas 3910,SAN JUSTO,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MTA,MTA,Gimena Conte,GRISELDA ORTEGA,TABLADA,walmarttablada@mostazaweb.com.ar,Av.Monseñor Bufano  6050,TABLADA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MWS,MWS,Gimena Conte,CANDELA GARCIA,SAN JUSTO 2,sanjusto2@mostazaweb.com.ar,Gral. Juan Manuel de Rosas 3990,SAN JUSTO,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MEP,MEP,Gimena Conte,JOAQUIN CERSOFIOS,PARANÁ,paseoparana@mostazaweb.com.ar,Corrientes 687,PARANÁ,ENTRE RIOS,,GASTRO MANANGEMENT GROUP S.A.,,,
MSN,MSN,ALEJANDRO ALVAREZ,AYELEN GARCIA,SALTA,salta@mostazaweb.com.ar,VIRREY TOLEDO 702,SALTA,SALTA,,GASTRO MANANGEMENT GROUP S.A.,,,
MUN,MUN,ALEJANDRO ALVAREZ,EZEQUIEL GONZALEZ,UNICENTER,unicenter@mostazaweb.com.ar,Paraná 3745,MARTINEZ,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MCB,MCB,ALEJANDRO ALVAREZ,AGUSTINA RUIZ,CASEROS,caseros@mostazaweb.com.ar,Justo José de Urquiza 4751,CASEROS,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MPF,MPF,ALEJANDRO ALVAREZ,ROMINA SALAZAR,PUERTO DE FRUTO,puertodefrutos@mostazaweb.com.ar,SARMIENTO 157,,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MTC,MTC,ALEJANDRO ALVAREZ,MICAELA QUIJANO,TIGRE CALLE,tigre@mostazaweb.com.ar,"BARTOLOME MITRE 460 , TIGRE",,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MLE,MLE,GIMENA CONTE,JUAN VAÑO,PARQUE LELOIR,leloir@mostazaweb.com.ar,"AV PRESIDENTE PERON 8545 , ITUZAINGO",,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MCC,MCC,Jesica Espinoza,Rocio Arzaroli,COMODORO CENTRO,comodorocentro@mostazaweb.com.ar,SAN MARTIN 401,COMODORO RIVADAVIA,CHUBUT,,GASTRO MANANGEMENT GROUP S.A.,,,
MWC,MWC,Jesica Espinoza,MAITE SEGURA,COMODORO RIVADAVIA,comodoro@mostazaweb.com.ar,ENRIQUE GIROLANO 3100,COMODORO RIVADAVIA,CHUBUT,,GASTRO MANANGEMENT GROUP S.A.,,,
MCH,MCH,Jesica Espinoza,DAMIAN SOTO,Comodoro Auto,,Av Hipolito Yrigoyen,BAHIA BLANCA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MCA,MCA,Jesica Espinoza,Nicolas Bustos,CARREFOUR AVELLANEDA,carrefouravellaneda@mostazaweb.com.ar,Av Pres Hipolito de Irigoyen 299,AVELLANEDA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
AFA,AFA,Jesica Espinoza,Soraya Morales,AMERICAN FAVS,am.favs@outlook.com,Guemes 897 (Local 206) Avellaneda CP 1870,AVELLANEDA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MAA,MAA,Jesica Espinoza,Ayelen Clavero,ALTO AVELLANEDA,altoavellaneda@mostazaweb.com.ar,Gral. Güemes 897,AVELLANEDA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MOC,MOC,Jesica Espinoza,MATIAS BRIZUELA,MADERO 2,madero2@mostazaweb.com.ar,Olga Cossettini 803,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MPD,MPD,Jesica Espinoza,Mario Peralta,MADERO 3,madero3@mostazaweb.com.ar,Pierina Dealessi  1502,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MMA,MMA,Jesica Espinoza,CAMILA GIMENEZ,MADRYN,puertomadryn@mostazaweb.com.ar,28 de Julio 188,PUERTO MADRYN,CHUBUT,,MOSTAZA Y PAN S.A.,,,
MTR,MTR,Jesica Espinoza,Jaqueline Saria,TRELEW,trelew@mostazaweb.com.ar,JOSIAH WILLIAMS  209,TRELEW,CHUBUT,,MOSTAZA Y PAN S.A.,,,
MLT,MLT,Jesica Espinoza,Maximo Bianco,LAS TOSCAS,lastoscas@mostazaweb.com.ar,FORMOSA 653,EZEIZA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MBO,MBO,Jesica Espinoza,MICAELA CABRERA,BOULEVARD,boulevard@mostazaweb.com.ar,H. Yrigoyen 13298,ADROGUE,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MLO,MLO,Jesica Espinoza,cecilia colasantti,LOMITAS,lomitas@mostazaweb.com.ar,COLOMBRES 306,LOMAS DE ZAMORA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MPL,MPL,Jesica Espinoza,TATIANA SZUKAILO,PORTAL LOMAS,portallomas@mostazaweb.com.ar,Av Antartida Argentina  801  y Frias,LAVALLOL,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MBB,MBB,Jesica Espinoza,FLORENCIA TOBARES,Bahia Blanca,bblanca@mostazaweb.com.ar,O Higgins 40,BAHIA BLANCA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MQM,MQM,Jesica Espinoza,Nicole Morales,QUILMES  JUMBO,jumboquilmes@mostazaweb.com.ar,Calchaquí 3950,Quilmes Oeste,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MAU,MAU,Jesica Espinoza,Sofia Decker,SARANDI,walmartsarandi@mostazaweb.com.ar,Au. Bs. As- La Plata km 9,SARANDI,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MVA,MVA,Jesica Espinoza,Lorena Avila,VARELA,varela@mostazaweb.com.ar,Av. San Martín 554,VARELA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MLP,MLP,Jesica Espinoza,CONSTANZA LANATA,LA PLATA,walmartlp@mostazaweb.com.ar,Camino Parque Centenario 1876,La Plata,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MDB,MDB,Jesica Espinoza,GIULIANA ACEBAL,DOLORES,dolores@mostazaweb.com.ar,Ruta 2 KM 202,DOLORES,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MLC,MLC,Pablo Baena,Mailen Suarez,AV LA PLATA CALLE,avlaplata@mostazaweb.com.ar,Av la Plata 1150,BOEDO,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MAC,MAC,Pablo Baena,MICAELA GUTIERREZ,ACOYTE,acoyte@mostazaweb.com.ar,Av. Rivadavia 4994,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MVC,MVC,Pablo Baena,Reyna Cuevas,CABALLITO,villagecaballito@mostazaweb.com.ar,Av Rivadavia 5071,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MDI,MDI,Pablo Baena,LOURDES STEPANIUK,DIAGONAL,diagonal@mostazaweb.com.ar,Av. Presidente Roque Saenz Peña 572,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MFL,MFL,Pablo Baena,Bianca Albarracin,FLORIDA,florida@mostazaweb.com.ar,Florida 267,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MC9,MC9,Pablo Baena,JHONATHAN RODRIGUEZ,PELLEGRINI BS AS,pellegrini@mostazaweb.com.ar,Córdoba 998,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MCO,MCO,Pablo Baena,Moira Hoyos,CORRIENTES Y 9 DE JULIO,corrientes@mostazaweb.com.ar,Av. Corrientes 970,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MF2,MF2,Pablo Baena,Mara Meza,FLORIDA 2,florida2@mostazaweb.com.ar,mlt,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MGP,MGP,Pablo Baena,Patricia Ferreyra,GALERIAS PACIFICO,galerias@mostazaweb.com.ar,San Martin 678.,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MPT,MPT,Pablo Baena,TOMAS CASALE,TUCUMAN 1,tucuman@mostazaweb.com.ar,AV.FERMIN CARIOLA   42,YERBA BUENA,TUCUMAN,,MOSTAZA Y PAN S.A.,,,
MRM,MRM,Pablo Baena,MARIA RODRIGUEZ,RECOLETA,recoleta@mostazaweb.com.ar,Junin 1648,RECOLETA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MCG,MCG,Pablo Baena,Maira Romero,CORDOBA GENERAL PAZ,generalpaz@mostazaweb.com.ar,AV.GENERAL PAZ 123,CAPITAL,CORDOBA,,MOSTAZA Y PAN S.A.,,,
MCL,MCL,Pablo Baena,MAILEN PERALTA,PASEO LIBERTAD,cordobalibertad@mostazaweb.com.ar,LIBERTAD  1100,GENERAL PAZ,CORDOBA,,MOSTAZA Y PAN S.A.,,,
MRC,MRC,Pablo Baena,Ariel Moreno,RIO CUARTO,riocuarto@mostazaweb.com.ar,Sagranderos 200,CORDOBA,CORDOBA,,MOSTAZA Y PAN S.A.,,,
MCP,MCP,Pablo Baena,Yamila Naghi,PATIO OLMOS,patioolmos@mostazaweb.com.ar,VELEZ SARSFIELD 361,PATIO OLMOS,CORDOBA,,MOSTAZA Y PAN S.A.,,,
MCV,MCV,Pablo Baena,Dafne Jofre,VILLA CABRERA,vcabrera@mostazaweb.com.ar,JOSE DE GOYCOHEA2851,VILLA CABRERA,CORDOBA,,MOSTAZA Y PAN S.A.,,,
MSC,MSC,Pablo Baena,Lucia Heredia,NUEVO CENTRO,nuevocentro@mostazaweb.com.ar,"Av. Duarte Quirós 1400, X5000 Córdoba",,CORDOBA,,MOSTAZA Y PAN S.A.,,,
MJC,MJC,Pablo Baena,Agustina Carrizo,SHOPPING JOCKEY CLUB,jockeyclub@mostazaweb.com.ar,ELIAS YOFRE 1050,CAPITAL,CORDOBA,,MOSTAZA Y PAN S.A.,,,
MMP,MMP,Pablo Baena,ALDANA RUIZ,MOSTAZA POSADAS,posadas@mostazaweb.com.ar,Av. Quaranta 3598,MISIONES,MISIONES,,MOSTAZA Y PAN S.A.,,,
MAT,MAT,Pablo Baena,Claudia Ramirez,ALBERDI,alberdi@mostazaweb.com.ar,Av. Juan Bautista Alberdi 7401,MATADEROS,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MAB,MAB,Pablo Baena,Cecilia Soto,ABASTO,abasto@mostazaweb.com.ar,Av. Corrientes 3247,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MAP,MAP,Pablo Baena,Lucia Padia,ALTO PALERMO,altopalermo@mostazaweb.com.ar,Av. Santa Fé 3253,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MCJ,MCJ,Pablo Baena,Ezequiel Sanchez,JUAN B JUSTO,juanbjusto@mostazaweb.com.ar,AV CORRIENTES 5790,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MJS,MJS,Pablo Baena,NAYLA TERAN,TRENES,trenes@mostazaweb.com.ar,Juan b Justo 606,CAPITAL,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MPB,MPB,Pablo Baena,Lucio Zanneti,PARQUE BROWN,parquebrown@mostazaweb.com.ar,Av.Fernandez de la cruz 4602,VILLA LUGANIO,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MPC,MPC,Pablo Baena,Nahiara Vargas,CENTENARIO,centenario@mostazaweb.com.am,AV . DIAZ VELEZ 5009,CABA,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MT1,MT1,Pablo Baena,,FOOD TRUCK,FOODTRUCK@MOSTAZAWEB.COM.AR,,COSTA ATLANTICA,BUENOS AIRES,,MSOTAZA Y PAN S.A.,,,
MSB,MSB,Jesica Espinoza,GERALDINE MUÑOZ,,,,,,,,,,
MMC,MMC,Pablo Baena,YENIFER MARTINS,Posadas Calle,POSADASCALLE@MOSTAZAWEB.COM.AR,San Lorenzo 1176,MISIONES,MISIONES,,MOSTAZA Y PAN S.A,,,
MCM,MCM,Gimena Conte,MELANIE FODERA,MORENO 1,carrefourmoreno@mostazaweb.com.ar,Acceso Oeste y Graham Bell,MORENO,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MIVP,MIVP,GIMENA CONTE,FLORENCIA VAZQUEZ,ITUZAINGO,ITUZAINGO@MOSTAZAWEB.COM.AR,CORONEL PABLO ZUFRIATEGUI 965,ITUZAINGO,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
MLZ,MLZ,Jesica Espinoza,LEANDRO PERALTA,,,,,,,,,,
MPIL,MPIL,Jesica Espinoza,Lucila Antunez,,,,,,,,,,
MPAT,MPAT,ALEJANDRO ALVAREZ,BRENDA ALBORNOZ,,pacheco1@mostazaweb.com.ar,,PACHECO,BUENOS AIRES,,MOSTAZA Y PAN S.A.,,,
